date,tax_revenue,gdp,cpi,exports,imports,quarter_sin,quarter_cos,trade_balance,tax_revenue_lag_1,tax_revenue_lag_2,tax_revenue_lag_4,tax_revenue_lag_8,gdp_lag_1,cpi_lag_1,gdp_lag_4,cpi_lag_4,exports_lag_1,imports_lag_1,trade_balance_lag_1,tax_revenue_rm_4,tax_revenue_rstd_4,gdp_rm_4,tax_revenue_yoy,gdp_pct_4,cpi_yoy,tax_to_gdp,export_import_ratio,target
1993-04-01,694.565,6808.939,144.1,653.094,716.281,1.2246467991473532e-16,-1.0,-63.1869999999999,656.938,673.51,637.932,612.927,6729.459,143.0666666666667,6470.763,139.73333333333332,643.606,699.31,-55.70399999999995,666.95425,22.277725891944915,6696.4605,0.08877591969050003,0.052262152083146995,0.03125,0.10200781648947069,0.9117846208401452,699.151
1993-07-01,699.151,6882.098,144.76666666666668,650.897,719.251,-1.0,-1.8369701987210297e-16,-68.35399999999993,694.565,656.938,642.804,616.693,6808.939,144.1,6566.641,140.79999999999998,653.094,716.281,-63.1869999999999,681.0409999999999,19.566478528339378,6775.32475,0.08765813529473987,0.048039324823756946,0.02817234848484862,0.1015898058993057,0.9049650261174472,746.417
1993-10-01,746.417,7013.738,145.96666666666667,671.6,745.049,-2.4492935982947064e-16,1.0,-73.44899999999996,699.151,694.565,673.51,625.41,6882.098,144.76666666666668,6680.803,142.03333333333333,650.897,719.251,-68.35399999999993,699.26775,36.68327956417342,6858.5585,0.10824932072278082,0.049834578268510565,0.027693029805210045,0.10642213895072784,0.9014172222229679,727.521
1994-01-01,727.521,7115.652,146.70000000000002,681.232,761.827,1.0,6.123233995736766e-17,-80.59500000000003,746.417,699.151,656.938,627.451,7013.738,145.96666666666667,6729.459,143.0666666666667,671.6,745.049,-73.44899999999996,716.9135,24.480859373531732,6955.106750000001,0.10744240704602248,0.057388417107526735,0.025396085740913232,0.10224235249278632,0.8942082651310599,767.039
1994-04-01,767.039,7246.931,147.53333333333333,706.988,797.56,1.2246467991473532e-16,-1.0,-90.57199999999989,727.521,746.417,694.565,637.932,7115.652,146.70000000000002,6808.939,144.1,681.232,761.827,-80.59500000000003,735.032,28.855545717706317,7064.6047499999995,0.10434444580420821,0.06432602788775155,0.0238260467268101,0.10584328731707257,0.8864386378454286,770.302
1994-07-01,770.302,7331.075,148.9,736.883,833.751,-1.0,-1.8369701987210297e-16,-96.86799999999994,767.039,727.521,699.151,642.804,7246.931,147.53333333333333,6882.098,144.76666666666668,706.988,797.56,-90.57199999999989,752.8197499999999,19.906766812233517,7176.849,0.10176771541483887,0.06523839096740547,0.02855169237854005,0.10507353969233708,0.8838166311044905,788.991
1994-10-01,788.991,7455.288,149.76666666666668,758.646,860.559,-2.4492935982947064e-16,1.0,-101.91300000000001,770.302,767.039,746.417,673.51,7331.075,148.9,7013.738,145.96666666666667,736.883,833.751,-96.86799999999994,763.46325,25.839671339176217,7287.2365,0.05703782202173846,0.06295501770952949,0.026033340945421424,0.10582971442551918,0.8815734888601479,803.103
1995-01-01,803.103,7522.289,150.86666666666667,781.57,886.899,1.0,6.123233995736766e-17,-105.32899999999995,788.991,770.302,727.521,656.938,7455.288,149.76666666666668,7115.652,146.70000000000002,758.646,860.559,-101.91300000000001,782.35875,16.87572821885469,7388.89575,0.10388978462477372,0.05714683629834627,0.028402635764598783,0.10676311425950266,0.8812390136870152,826.947
1995-04-01,826.947,7580.997,152.1,798.851,908.343,1.2246467991473532e-16,-1.0,-109.49199999999996,803.103,788.991,767.039,694.565,7522.289,150.86666666666667,7246.931,147.53333333333333,781.57,886.899,-105.32899999999995,797.33575,23.878482578463505,7472.41225,0.07810293870324725,0.04609758254908192,0.030953456845910443,0.10908156275487248,0.8794596314387847,830.271
1995-07-01,830.271,7683.125,152.86666666666667,831.399,905.843,-1.0,-1.8369701987210297e-16,-74.44399999999996,826.947,803.103,770.302,699.151,7580.997,152.1,7331.075,148.9,798.851,908.343,-109.49199999999996,812.328,19.70941064567852,7560.42475,0.07785128430148158,0.04802160665386723,0.026639802999776085,0.1080642316765639,0.9178179883268955,842.468
1995-10-01,842.468,7772.586,153.70000000000002,839.421,909.201,-2.4492935982947064e-16,1.0,-69.77999999999997,830.271,826.947,788.991,746.417,7683.125,152.86666666666667,7455.288,149.76666666666668,831.399,905.843,-74.44399999999996,825.69725,16.474619396210226,7639.74925,0.06777897339766858,0.042560126449843416,0.026263075895837984,0.10838966593615046,0.9232512942682641,875.999
1996-01-01,875.999,7868.468,155.06666666666666,847.94,936.735,1.0,6.123233995736766e-17,-88.79499999999996,842.468,830.271,803.103,727.521,7772.586,153.70000000000002,7522.289,150.86666666666667,839.421,909.201,-69.77999999999997,843.92125,22.401997446284128,7726.294,0.09076793387647664,0.04602043340796924,0.02783915156871397,0.11133031233017661,0.9052079830475002,921.58
1996-04-01,921.58,8032.84,156.4,859.042,952.751,1.2246467991473532e-16,-1.0,-93.70899999999995,875.999,842.468,826.947,767.039,7868.468,155.06666666666666,7580.997,152.1,847.94,936.735,-88.79499999999996,867.5795,40.86340492013183,7839.25475,0.11443659629940006,0.0596020549803673,0.02827087442472065,0.11472654752242047,0.9016437663145985,923.88
1996-07-01,923.88,8131.408,157.29999999999998,859.577,973.757,-1.0,-1.8369701987210297e-16,-114.17999999999995,921.58,875.999,830.271,770.302,8032.84,156.4,7683.125,152.86666666666667,859.042,952.751,-93.70899999999995,890.98175,39.143388086835905,7951.3255,0.11274511575136326,0.058346441064020205,0.029001308329698938,0.1136186992461822,0.8827428198205508,946.372
1996-10-01,946.372,8259.771,158.66666666666666,903.798,992.62,-2.4492935982947064e-16,1.0,-88.822,923.88,921.58,842.468,788.991,8131.408,157.29999999999998,7772.586,153.70000000000002,859.577,973.757,-114.17999999999995,916.95775,29.507626385675838,8073.12175,0.12333287436436757,0.06267991116470117,0.0323140316634134,0.1145760578592312,0.9105176200358647,978.033
1997-01-01,978.033,8362.655,159.63333333333333,918.374,1027.213,1.0,6.123233995736766e-17,-108.83899999999994,946.372,923.88,875.999,803.103,8259.771,158.66666666666666,7868.468,155.06666666666666,903.798,992.62,-88.822,942.4662500000001,26.21661506722963,8196.6685,0.11647730191472827,0.06280599984647584,0.029449699054170164,0.11695245110554003,0.8940443705443759,1004.394
1997-04-01,1004.394,8518.825,160.0,954.45,1039.651,1.2246467991473532e-16,-1.0,-85.20100000000002,978.033,946.372,921.58,826.947,8362.655,159.63333333333333,8032.84,156.4,918.374,1027.213,-108.83899999999994,963.1697499999999,35.33743929955807,8318.16475,0.08986089107836537,0.060499773430069625,0.023017902813299296,0.11790287979856376,0.9180484604929924,1032.495
