Date,Production & Import Tax (B),Corporate Income Tax (B),Personal Income Tax (B),Taxes from ROW (B),Total Tax Receipts (B),Sum Known Components,Other Taxes (B),Personal Income Tax (%),Corporate Income Tax (%),Production & Import Tax (%),Taxes from ROW (%),Other Taxes (%)
1955-01-01,2.384,20.196,29.048,1e-05,59.228,51.62801,7.599989999999998,49.04437090565273,34.09873708381171,4.025123252515702,1.6883906260552443e-05,12.831751874113593
1955-04-01,2.658,20.432,30.068,1e-05,61.024,53.158010000000004,7.8659899999999965,49.27241740954379,33.48190875721028,4.355663345568956,1.638699528054536e-05,12.889994100681692
1955-07-01,2.64,20.908,30.956,1e-05,62.492,54.50401000000001,7.987989999999989,49.53594060039685,33.457082506560845,4.224540741214875,1.600204826217756e-05,12.782420149779156
1955-10-01,2.746,21.748,31.808,1e-05,64.132,56.30201,7.829990000000002,49.59770473398615,33.91130792739973,4.281793800286908,1.5592839767978543e-05,12.209177945487435
1956-01-01,2.523,20.64,32.704,1e-05,63.936,55.86701000000001,8.068989999999992,51.151151151151154,32.28228228228228,3.946133633633634,1.5640640640640644e-05,12.620417292292279
1956-04-01,2.675,21.028,33.572,1e-05,65.176,57.27501,7.90099,51.50975819319995,32.26340984411439,4.1042715109856385,1.5343071069105193e-05,12.122545108628943
1956-07-01,2.726,19.72,34.212,1e-05,64.956,56.658010000000004,8.297989999999999,52.66949935340847,30.359012254449162,4.196686988115031,1.5395036640187203e-05,12.774786008990699
1956-10-01,3.042,20.8,35.164,1e-05,67.636,59.00601,8.629989999999992,51.99006446271217,30.75285350996511,4.497604825832397,1.4785025725944764e-05,12.759462416464595
1957-01-01,2.75,21.256,35.712,1e-05,68.528,59.71801000000001,8.809989999999999,52.1130049031053,31.017978052766747,4.012958206864347,1.4592575297688535e-05,12.8560442446883
1957-04-01,2.939,20.316,36.076,1e-05,67.94,59.33101,8.608989999999999,53.09979393582574,29.902855460700618,4.325875772740654,1.4718869590815427e-05,12.671460111863409
1957-07-01,2.885,19.844,36.292,1e-05,67.792,59.021010000000004,8.770989999999998,53.534340335142794,29.271890488553222,4.255664385178191,1.4751003068208639e-05,12.938090040122724
1957-10-01,2.926,18.028,35.896,1e-05,65.16,56.850010000000005,8.309989999999992,55.0890116635973,27.667280540208715,4.490484960098221,1.534683855125844e-05,12.753207489257202
1958-01-01,2.623,15.44,35.156,1e-05,61.632,53.21901,8.41299,57.04179646936657,25.05192107995846,4.255906022845276,1.622533748701973e-05,13.650360202492212
1958-04-01,2.867,15.768,34.668,0.002439881761874153,61.632,53.30543988176187,8.326560118238127,56.25,25.58411214953271,4.651804257528556,0.003958790501483244,13.510124802437254
1958-07-01,2.713,17.876,35.868,1e-05,64.8,56.457010000000004,8.342989999999993,55.351851851851855,27.58641975308642,4.186728395061729,1.5432098765432103e-05,12.874984567901224
1958-10-01,2.995,20.66,36.248,1e-05,68.412,59.90301,8.508990000000004,52.98485645793135,30.199380225691396,4.377886920423317,1.4617318599076184e-05,12.437861778635332
1959-01-01,2.812,21.56,37.152,0.007899357124328614,70.632,61.53189935712433,9.100100642875674,52.59938837920489,30.524408200249177,3.9811983237059687,0.01118382195651916,12.883821274883442
1959-04-01,3.139,23.604,38.292,0.04937415768814086,74.056,65.08437415768813,8.971625842311866,51.70681646321703,31.873177055201467,4.2386842389543045,0.06667138069587995,12.114650861931331
1959-07-01,3.036,20.896,38.712,1e-05,72.152,62.64401000000001,9.507989999999992,53.65339838119526,28.96108215988469,4.207783568023062,1.38596296706952e-05,13.177722031267313
1959-10-01,3.224,20.232,39.708,1e-05,72.496,63.164010000000005,9.33198999999999,54.772677113220034,27.907746634297066,4.447141911277864,1.3793864489075262e-05,12.87242054734053
1960-01-01,3.134,22.704,41.14,0.049735576789855955,77.184,67.02773557678985,10.156264423210146,53.301202321724716,29.41542288557214,4.06042703150912,0.06443767722566329,13.15851008396837
1960-04-01,3.503,20.772,41.816,0.0996291120529175,75.816,66.19062911205293,9.62537088794707,55.154584784214414,27.397910731244064,4.620396750026379,0.13140908522332684,12.695698649291797
1960-07-01,3.095,19.844,42.264,1e-05,75.24,65.20301,10.036989999999989,56.17224880382776,26.374269005847957,4.113503455608719,1.3290802764486978e-05,13.3399654439128
1960-10-01,3.34,18.88,42.132,1e-05,73.98,64.35201,9.627989999999997,56.950527169505264,25.520410921870774,4.514733711814004,1.3517166801838334e-05,13.01431467964314
1961-01-01,2.957,18.696,42.164,0.09386045457077027,73.82,63.91086045457077,9.90913954542922,57.117312381468444,25.326469791384454,4.005689515036575,0.12714773038576305,13.423380581724764
1961-04-01,3.474,20.072,42.46,0.1416926356239319,75.66,66.14769263562393,9.51230736437607,56.11948189267777,26.52920962199313,4.591593973037273,0.18727548985452272,12.572439022437312
1961-07-01,3.153,21.288,42.756,0.013570286087036148,77.316,67.21057028608703,10.105429713912969,55.30032593512338,27.53375756635108,4.078069222411919,0.017551717738936504,13.070295558374681
1961-10-01,3.577,23.16,43.396,1e-05,80.288,70.13301,10.154989999999998,54.05041849342368,28.84615384615385,4.455211239537665,1.245516141889199e-05,12.648203965723393
1962-01-01,3.244,21.536,44.552,0.1392117049293518,80.136,69.47121170492935,10.66478829507065,55.59548767095938,26.874313666766504,4.048118199061595,0.173719308337516,13.308361154875026
